Administrative,Informational,ProductRelated,ExitRates,Revenue,TrafficType_2,TrafficType_3,TrafficType_4,TrafficType_5,TrafficType_6,TrafficType_8,TrafficType_10,TrafficType_11,TrafficType_13,TrafficType_20,TrafficType_Other,Month_Dec,Month_Mar,Month_May,Month_Nov,VisitorType_New_Visitor,is_special_day,Administrative_Duration_log,PageValues_log,Visited_Informational,ProductRelated_Duration_sqrt,has_bounce,high_exit_rate
5,6,449,0.02770134,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,8.131457178489068,0.0,1,252.9298761119374,1,0
17,24,705,0.015431438,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0,7.874835686289103,0.5674869891644934,1,207.77688365167091,1,0
15,13,343,0.02897116,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,7.885448892009174,0.0,1,173.1198023624103,1,0
20,3,517,0.014593571,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,7.176770453952403,2.241046196480845,1,164.3467658032856,1,0
27,2,584,0.009346937,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,6.75079258965952,1.7067643168363298,1,157.62029120643066,1,0
10,7,414,0.027062016,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,7.13265728331121,0.7098849866742915,1,154.56005305382112,1,0
20,7,686,0.022771363,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5.300596132188305,0.1403274328900371,1,152.7811573787815,1,0
10,3,486,0.011248517,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7.786727791772948,0.0,1,151.82260747332722,1,0
12,4,439,0.012497612,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,5.508308131148847,2.5208554519711,1,147.8412881437388,1,0
11,5,501,0.014292461,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.449548459668621,2.3156382096802677,1,147.21495932818783,1,0
9,0,534,0.023309001,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,6.098713902733924,1.2663717306621403,0,136.02987249130243,1,0
14,4,280,0.038980418,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7.1081739948819225,1.9017580620577885,1,134.8027987098191,1,0
12,0,439,0.018437701,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,5.452554777185498,1.2883807913347631,0,132.47862038834793,1,0
