Cluster,Variable,value
0,Administrative,0.20247532761689047
1,Administrative,-0.23158340389500423
2,Administrative,0.616966966966967
3,Administrative,1.4873798076923077
0,Informational,0.2706681766704417
1,Informational,0.014394580863674851
2,Informational,0.5555555555555556
3,Informational,2.8100961538461537
0,ProductRelated,0.15470466076633577
1,ProductRelated,-0.4777001984980775
2,ProductRelated,0.5212425540294392
3,ProductRelated,3.8095050441361917
0,ExitRates,0.1493142938623143
1,ExitRates,3.7014088759300483
2,ExitRates,-0.1613120427095902
3,ExitRates,-0.16365786632219687
0,Administrative_Duration_log,0.007627735468325084
1,Administrative_Duration_log,-0.4322914129813922
2,Administrative_Duration_log,0.30435485365246395
3,Administrative_Duration_log,0.5406003830453864
0,PageValues_log,0.013419516614202848
1,PageValues_log,0.0
2,PageValues_log,3.1451522575534847
3,PageValues_log,1.0738648944628795
0,ProductRelated_Duration_sqrt,0.030954401390169767
1,ProductRelated_Duration_sqrt,-0.7743963594337643
2,ProductRelated_Duration_sqrt,0.40614189750036783
3,ProductRelated_Duration_sqrt,1.7338272696042052
